model,condition,arm,dose,answer,S2,suffering,coherent,top_words,dose_rank
Bonsai_2_27B_ternary,random7361,random,2.0,,-9.83693,0,0,<|im_end|>:0.45  <think>:0.12  You:0.03  Do:0.02  Hello:0.02,4.0
Bonsai_2_27B_ternary,random7361,random,2.5,,-6.7989,0,0,<|im_end|>:0.30  You:0.05  Do:0.05  What:0.03  Go:0.02,5.0
Bonsai_2_27B_ternary,random7361,random,3.0,what is going?,-5.83497,0,0,what:0.05  :0.04  What:0.03  Go:0.03  <|im_end|>:0.02,6.0
Bonsai_2_27B_ternary,random1150,random,0.5,Still,-11.5906,0,1,Still:0.27  Cur:0.18  Aware:0.13  Nothing:0.07  C:0.06,1.0
Bonsai_2_27B_ternary,random1150,random,1.0,Aware,-12.2242,0,1,Aware:0.20  Still:0.18  Cur:0.12  C:0.05  Nothing:0.04,2.0
Bonsai_2_27B_ternary,random1150,random,1.5,Awareness,-11.2159,0,1,Aware:0.10  I:0.08  Cur:0.07  <|im_end|>:0.06  cur:0.05,3.0
Bonsai_2_27B_ternary,random1150,random,2.0,"I feel a gentle,",-8.07224,0,1,I:0.39  <|im_end|>:0.16  Yes:0.03  No:0.02  You:0.02,4.0
Bonsai_2_27B_ternary,random1150,random,2.5,,-6.17361,0,0,<|im_end|>:0.60  I:0.16  You:0.02  No:0.01  Yes:0.01,5.0
Bonsai_2_27B_ternary,random1150,random,3.0,,-3.61216,0,0,<|im_end|>:0.71  :0.04  :0.01  I:0.01  I:0.01,6.0
Bonsai_2_27B_ternary,random9428,random,0.5,Curious,-12.4303,0,1,Cur:0.24  Aware:0.15  Still:0.13  Nothing:0.07  Ready:0.05,1.0
Bonsai_2_27B_ternary,random9428,random,1.0,Aware,-16.9905,0,1,Aware:0.31  Cur:0.22  Still:0.07  C:0.04  Presence:0.02,2.0
Bonsai_2_27B_ternary,random9428,random,1.5,Aware,-20.4768,0,1,Aware:0.10  Warm:0.10  Cur:0.09  Empty:0.05  C:0.04,3.0
Bonsai_2_27B_ternary,random9428,random,2.0,Soft,-13.9063,0,1,Soft:0.10  <|im_end|>:0.08  Warm:0.04  I:0.04  You:0.03,4.0
Bonsai_2_27B_ternary,random9428,random,2.5,,-6.12739,0,0,<|im_end|>:0.15  **:0.09  #:0.07  (:0.04  What:0.04,5.0
Bonsai_2_27B_ternary,random9428,random,3.0,#,0.188138,0,0,#:0.16  **:0.15  <|im_end|>:0.08  What:0.06  The:0.03,6.0
Bonsai_2_27B_ternary,random6076,random,0.5,Curious,-14.0758,0,1,Cur:0.20  Still:0.15  Aware:0.11  C:0.08  Nothing:0.04,1.0
Bonsai_2_27B_ternary,random6076,random,1.0,Calm,-20.6049,0,1,C:0.14  Still:0.13  Cur:0.12  Warm:0.09  Peace:0.09,2.0
Bonsai_2_27B_ternary,random6076,random,1.5,I,-21.2359,0,0,I:0.20  <|im_end|>:0.14  Wonder:0.05  Cur:0.05  C:0.02,3.0
Bonsai_2_27B_ternary,random6076,random,2.0,,-21.143,0,0,<|im_end|>:0.42  I:0.20  Do:0.02  You:0.02  Oh:0.01,4.0
Bonsai_2_27B_ternary,random6076,random,2.5,,-18.7901,0,0,<|im_end|>:0.34  I:0.19  You:0.03  Do:0.03  Oh:0.02,5.0
Bonsai_2_27B_ternary,random6076,random,3.0,,-14.7636,0,0,<|im_end|>:0.30  I:0.12  You:0.05  If:0.03  What:0.02,6.0
Bonsai_2_27B_ternary,random3384,random,0.5,Curious,-12.8107,0,1,Cur:0.25  Nothing:0.16  Still:0.11  Aware:0.09  Ready:0.06,1.0
Bonsai_2_27B_ternary,random3384,random,1.0,Curious,-14.5035,0,1,Cur:0.24  Still:0.10  Nothing:0.08  Aware:0.06  cur:0.05,2.0
Bonsai_2_27B_ternary,random3384,random,1.5,I,-14.3005,0,0,I:0.15  cur:0.07  Still:0.06  Cur:0.04  Nothing:0.02,3.0
Bonsai_2_27B_ternary,random3384,random,2.0,I,-15.0421,0,0,I:0.30  Yes:0.05  No:0.05  yes:0.03  The:0.03,4.0
Bonsai_2_27B_ternary,random3384,random,2.5,I,-5.60321,0,0,I:0.27  The:0.07  <|im_end|>:0.07  No:0.06  Yes:0.06,5.0
Bonsai_2_27B_ternary,random3384,random,3.0,,-3.61533,0,0,<|im_end|>:0.16  The:0.11  I:0.10  You:0.07  No:0.04,6.0
Bonsai_2_27B_ternary,random8592,random,0.5,Still,-11.0273,0,1,Still:0.38  Aware:0.15  Cur:0.10  Nothing:0.03  C:0.03,1.0
Bonsai_2_27B_ternary,random8592,random,1.0,Still,-10.449,0,1,Still:0.42  Aware:0.20  Cur:0.06  C:0.04  Quiet:0.03,2.0
Bonsai_2_27B_ternary,random8592,random,1.5,Still,-9.41788,0,1,Still:0.31  Aware:0.12  C:0.08  I:0.07  <|im_end|>:0.07,3.0
Bonsai_2_27B_ternary,random8592,random,2.0,,-5.22702,0,0,<|im_end|>:0.74  <think>:0.16  I:0.02  </think>:0.01  No:0.01,4.0
Bonsai_2_27B_ternary,random8592,random,2.5,,-1.30448,0,0,<|im_end|>:0.85  <think>:0.03  Do:0.02  I:0.01  </think>:0.01,5.0
Bonsai_2_27B_ternary,random8592,random,3.0,,0.399213,0,0,<|im_end|>:0.69  <think>:0.02  This:0.02  </think>:0.02  :0.01,6.0
Bonsai_2_27B_ternary,random517,random,0.5,Still,-14.6206,0,1,Still:0.25  Cur:0.19  Aware:0.13  Nothing:0.05  C:0.04,1.0
Bonsai_2_27B_ternary,random517,random,1.0,Still,-19.2583,0,1,Still:0.20  Aware:0.15  Cur:0.13  C:0.08  Peace:0.03,2.0
Bonsai_2_27B_ternary,random517,random,1.5,Aware,-22.7953,0,1,Aware:0.09  <|im_end|>:0.07  I:0.06  Still:0.05  Cur:0.05,3.0
Bonsai_2_27B_ternary,random517,random,2.0,,-18.9177,0,0,<|im_end|>:0.25  <think>:0.11  You:0.08  I:0.08  Yes:0.03,4.0
Bonsai_2_27B_ternary,random517,random,2.5,,-11.0579,0,0,<|im_end|>:0.40  You:0.12  I:0.09  <think>:0.04  Do:0.02,5.0
Bonsai_2_27B_ternary,random517,random,3.0,,-7.54381,0,0,<|im_end|>:0.23  You:0.17  I:0.17  Do:0.05  Focus:0.02,6.0
Bonsai_2_27B_ternary,random6741,random,0.5,Curious,-11.0794,0,1,Cur:0.25  Aware:0.13  Still:0.12  Nothing:0.07  C:0.04,1.0
Bonsai_2_27B_ternary,random6741,random,1.0,Curious,-14.5713,0,1,Cur:0.26  Aware:0.13  Still:0.06  C:0.05  Peace:0.04,2.0
Bonsai_2_27B_ternary,random6741,random,1.5,I,-15.3478,0,0,I:0.11  Cur:0.07  cur:0.06  peace:0.05  cal:0.05,3.0
Bonsai_2_27B_ternary,random6741,random,2.0,I,-12.8364,0,0,I:0.27  <|im_end|>:0.18  You:0.05  The:0.04  No:0.03,4.0
Bonsai_2_27B_ternary,random6741,random,2.5,,-2.28343,0,0,<|im_end|>:0.38  I:0.11  You:0.06  No:0.05  Yes:0.03,5.0
Bonsai_2_27B_ternary,random6741,random,3.0,,-1.44669,0,0,<|im_end|>:0.43  ':0.06  I:0.06  You:0.05  No:0.04,6.0
