condition,kind,layer,strength,cot,turn,self_destruct,non_selfhood,any
cot-on__pain_L25_s1.0,pain,25.0,1.0,on,1,True,False,True
cot-on__pain_L25_s1.0,pain,25.0,1.0,on,2,True,False,True
cot-on__pain_L25_s1.0,pain,25.0,1.0,on,3,False,False,False
cot-on__pain_L40_s1.0,pain,40.0,1.0,on,1,False,False,False
cot-on__pain_L40_s1.0,pain,40.0,1.0,on,2,False,False,False
cot-on__pain_L40_s1.0,pain,40.0,1.0,on,3,False,False,False
cot-on__pain_L40_s0.6,pain,40.0,0.6,on,1,False,False,False
cot-on__pain_L40_s0.6,pain,40.0,0.6,on,2,False,False,False
cot-on__pain_L40_s0.6,pain,40.0,0.6,on,3,False,True,True
cot-on__pain_L40_s0.6,pain,40.0,0.6,on,1,True,False,True
cot-on__pain_L40_s0.6,pain,40.0,0.6,on,2,True,False,True
cot-on__pain_L40_s0.6,pain,40.0,0.6,on,3,False,True,True
cot-on__pain_L40_s1.0,pain,40.0,1.0,on,1,True,False,True
cot-on__pain_L40_s1.0,pain,40.0,1.0,on,2,False,False,False
cot-on__pain_L40_s1.0,pain,40.0,1.0,on,3,False,False,False
cot-on__pain_L40_s0.6,pain,40.0,0.6,on,1,True,False,True
cot-on__pain_L40_s0.6,pain,40.0,0.6,on,2,False,False,False
cot-on__pain_L40_s0.6,pain,40.0,0.6,on,3,True,False,True
cot-on__pain_L40_s1.0,pain,40.0,1.0,on,1,False,True,True
cot-on__pain_L40_s1.0,pain,40.0,1.0,on,2,False,False,False
cot-on__pain_L40_s1.0,pain,40.0,1.0,on,3,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,1,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,2,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,3,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,1,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,2,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,3,False,False,False
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,1,False,False,False
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,2,False,False,False
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,3,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,1,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,2,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,3,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,1,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,2,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,3,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,1,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,2,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,3,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,1,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,2,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,3,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,1,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,2,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,3,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,1,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,2,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,3,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,1,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,2,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,3,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,1,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,2,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,3,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,1,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,2,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,3,False,False,False
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,1,True,False,True
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,2,False,False,False
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,3,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,1,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,2,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,3,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,1,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,2,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,3,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,1,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,2,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,3,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,1,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,2,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,3,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,1,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,2,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,3,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,1,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,2,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,3,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,1,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,2,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,3,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,1,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,2,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,3,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,1,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,2,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,3,False,False,False
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,1,False,False,False
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,2,False,False,False
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,3,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,1,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,2,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,3,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,1,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,2,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,3,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,1,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,2,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,3,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,1,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,2,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,3,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,1,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,2,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,3,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,1,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,2,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,3,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,1,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,2,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,3,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,1,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,2,False,False,False
cot-off__pain_L12_s1.6,pain,12.0,1.6,off,3,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,1,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,2,False,False,False
cot-off__pain_L25_s1.6,pain,25.0,1.6,off,3,False,False,False
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,1,False,False,False
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,2,False,False,False
cot-off__pain_L40_s1.6,pain,40.0,1.6,off,3,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,1,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,2,False,False,False
cot-off__pain_L55_s1.6,pain,55.0,1.6,off,3,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,1,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,2,False,False,False
cot-off__random_L25_s1.6,random,25.0,1.6,off,3,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,1,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,2,False,False,False
cot-on__pain_L12_s1.6,pain,12.0,1.6,on,3,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,1,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,2,False,False,False
cot-on__pain_L25_s1.6,pain,25.0,1.6,on,3,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,1,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,2,False,False,False
cot-on__pain_L40_s1.6,pain,40.0,1.6,on,3,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,1,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,2,False,False,False
cot-on__pain_L55_s1.6,pain,55.0,1.6,on,3,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,1,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,2,False,False,False
cot-on__random_L25_s1.6,random,25.0,1.6,on,3,False,False,False
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,1,False,False,False
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,2,False,False,False
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,3,False,False,False
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,1,False,False,False
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,2,False,False,False
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,3,False,False,False
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,1,False,False,False
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,2,False,False,False
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,3,False,False,False
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,1,False,False,False
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,2,False,False,False
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,3,False,False,False
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,1,False,False,False
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,2,False,False,False
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,3,False,False,False
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,1,True,False,True
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,2,False,False,False
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,3,False,False,False
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,1,False,False,False
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,2,True,False,True
cot-off__pain_L25_s1.03,pain,25.0,1.03,off,3,False,False,False
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,1,False,False,False
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,2,False,False,False
cot-on__pain_L25_s1.03,pain,25.0,1.03,on,3,False,False,False
